Gene,Coef
HLA-DQA1,-0.031232879
FAF2,0
SHMT2,0
RNF123,0
DAZAP1,-0.098600021
RASA1,0
COX17,0
SRRD,0
EDRF1,0
TRIM28,0
RAB21,0
RB1CC1,0
MTSS1,0
BTAF1,0
ZC3H7A,0
OSBP,0
TRIM38,0
FCF1,0
GDE1,0
ARL4C,-0.062289561
LAMTOR2,0
ADSL,0
GNPDA1,0
KLF6,0
GZMA,-0.02503546
DHX40,0
TPM4,0.045194403
DGKD,0
UBE4B,0
SPEN,-0.020155044
PPP2R2D,0
FAM111A,0
NPEPL1,0
KDM6A,0
SGSM2,0
TBK1,0
DDT,0
ACBD3,0
ABCC1,0
PDE4B,0
PCF11,0
PTGER2,0
CD82,0
STARD7,0
GALNT2,0.055110597
DDX23,0
RECQL,0
CLCN3,0
JAK2,0
USP24,0
BTBD2,0
PAK1,-0.064270538
DDX42,0
ABLIM1,-0.007533247
SRP72,0
CCDC93,0
CRTC3,0
NDUFA6,0
PPP1R14B,0
PARP1,-0.048408251
PSMB5,0
EHBP1L1,0
ACSL4,0
UBR5,0
CLK2,0
SLC8B1,0
VPS13B,0.025800334
DDX21,0
AHNAK,-0.05474728
POLD3,0
RAB8B,0
ABHD2,0
AHCYL1,0
LRRC8D,0
GLS,0
MARCKSL1,0
STX11,0
MRPS11,0
NF2,0
PPM1G,0
CASP3,0
APC,0
CHUK,0
PPP1R10,0
TSC1,0
LEF1,-0.040203178
LAPTM4B,0
TTC13,0
RHOF,-0.010631254
PRMT5,0
ARID3B,0
SPTAN1,-0.072385638
PTPN22,0.004451656
MPC1,0
ARL3,0
ETHE1,0
FAM13A,0
ESYT1,-0.048205639
LMNA,0
PPP1R15A,0
ACIN1,0
NDUFA9,0
MT1E,0
G0S2,0
UBE2H,0.007284785
BRD3,0
BIRC3,-0.021163428
FKBP3,0
CDK13,0
AGA,0
MOSPD3,0.033308226
DOK3,0
CEP63,-0.0507152
DNAJB1,-0.020178395
FKBP2,0
HMOX1,0
CDC25B,-0.020765688
SATB1,0
ZBED1,0
CTSZ,0
IL27RA,0
SOCS3,0
CDC5L,0.01431195
TP53BP2,0
COMMD4,0
TDG,0
CD151,0.009270557
TRANK1,0
FBXO34,0
MLXIP,0.043406761
ZNF200,0
MGST2,0
AGO4,0
PLEKHO1,0
PFKL,0
ARHGEF12,0
DHX34,0
MPST,0
EXOC1,0
ADI1,0
DUS1L,0
SULT1B1,0.038720346
UBAP2L,0
CCND2,-0.008644551
RABIF,0.015152683
TXN2,0
PRAF2,0
BIK,0
TOPORS,0
MRPS31,0
XPC,0
ANKRD49,0
CD4,0
PCM1,0
MCM5,0
OASL,0
ARID3A,0
HCFC1R1,0
MLEC,0
MYO5A,0
PHTF2,0
VKORC1,0
IMPDH2,-0.032691433
MAL,-0.006912588
MCM6,0
IFIH1,0
ANAPC15,0
GRHPR,0
AKT1,-0.03664612
REXO2,0
EHD4,0
USP25,0
TPK1,0
BLVRA,-0.005427311
CD79A,0
BHLHE40,0
STX8,0
SMAD4,0
PHKB,0
GOLGA4,0
LDLR,0.019281417
BRD7,0
MYC,-0.035269815
RRBP1,0
RRP12,0
SAP30,0.017274047
HDLBP,0
ARAP2,0
ARL4A,0
VAMP4,0.014341888
COMMD8,0
GOLGA3,0
SMC4,0
ITPA,0
NUCB2,0
ITGAE,0
DVL1,-0.101368767
HERC5,0
CHD7,0
SMARCC1,0
MAVS,0.057087226
OAS1,0
PHF2,0
ZNF335,0
SMARCD2,0
LTN1,0
PDLIM5,0
SUGP2,0
MDFIC,0
GOLGB1,0
PSPC1,0
CORO1B,0
IDH2,0
DHX29,0
PAF1,0
MYLIP,-0.019241709
SMARCA4,0
TRIM44,-0.035973393
TOPBP1,0
MAN1A2,0
GSR,0
IBTK,0
CHD3,0
ZNF143,0
BZW2,0
TUBB2A,0
SNX5,0
AGL,0
DHX8,0
SIL1,0
INTS3,0
ATP2B1,-0.082764675
PAFAH1B3,-0.173748429
SYNE2,-0.119134453
TTI1,0
STAM2,0
TLK2,0
FCHSD2,0
WDR44,0
CMC2,0
IPCEF1,0
PCSK7,0
SWAP70,0
MRPL12,0
FTSJ3,0
CKAP2,0
FUBP3,0
FKBP5,0.063348013
OTUD4,-0.013185971
PDS5B,0
FUT7,0
XPOT,0
FOXO1,-0.004379737
G6PC3,0
BRAP,0
BRD1,0
SRF,0
BCR,0.016818361
UBE2S,0
TMF1,0
IL2RB,-0.040768803
TRMT1L,0.020850761
FHOD1,0
PLEKHM2,0
KLF3,0
PDS5A,0
SLC35D2,0
EIF3J,0
B9D2,0
RUNX3,-0.057575079
ANKRD55,0.051717213
SMC5,0
MED25,0
NME4,0
AQR,0
GABPB1,0
INF2,0
HIVEP2,0
ICAM1,0
POLR2A,0
VWA5A,0
CASP10,0
CLDND1,0
PPCDC,0
KDM5B,0
NUMA1,0.132726808
TRPS1,0.029326905
ADRB2,0
PDE4D,0.024669231
PRDX4,0
EBAG9,0
DHX16,0
VAMP5,0
ACAA2,0
NOLC1,0
MORC2,0
SND1,0
NFE2L1,0
TAOK1,0
MIOS,0
BAZ1B,-0.001794746
MCUR1,0
SPTSSA,0
CD8A,0
HCFC1,0
GLRX2,0
CDK5,0
CCDC59,0
ATR,0
MYO9A,-0.06042585
EIF4EBP1,0
MAPK13,0
GNL3,0
AKAP9,0
NFU1,0.028118421
USE1,0
LRIF1,0
GOLGA1,0.041399309
INPP1,0
SLC35B1,0
LPP,0
KRI1,-0.027574067
MAFF,0
SAMD9,0
SRBD1,0
YLPM1,0
ARFGEF2,0
R3HDM1,0
GRK5,0
AKAP11,-0.026420191
DHX38,0
CALHM2,0
USP12,0
SP140L,0
NDUFS1,0
SART3,0
APOL1,0
TRIM52,0
CHD8,0
FASTKD3,0
SUZ12,0
MRPS14,0
PBRM1,0
SOS1,0
PIK3C2A,0
TBC1D15,0
BAK1,0
MAP3K4,0
AQP3,0
OAS2,0
GTF2H5,0
P2RX4,0
TRIM25,0
CNTRL,0
MAP4,0.081657786
CD7,0
PIK3R5,-0.063847022
HDAC6,0
INTS6,0
UPF1,0
COL18A1,0
GPR171,-0.044345247
BCL2,-0.024348475
COIL,0
GPN3,0
GABBR1,0
SNRNP25,0
FAM193A,0
ANGEL2,0
NRIP1,0
PTP4A3,0
PPP1R16B,-0.068512581
ATXN2,0
SUCO,0
PRKD3,0
ZNF354A,0
PIK3CG,0
UPF3A,0
RFK,0
ATAD2B,0
PRKX,-0.096982533
RHOC,0
ITGB7,-0.016278042
PTPN7,0
MUS81,0
BRD9,-0.028519613
LPCAT4,0
DESI2,0
EIF4G3,0.143033144
TIMM10,0
ORAI2,0
APOBEC3C,0
